clip_id,iteration,complexity_score,prefill_ms,autoregressive_ms,vlm_generate_ms,diffusion_sample_ms,action_to_traj_ms,other_ms,total_ms,minADE,coc_tokens
bea4f948-bf4e-4763-8a85-bdadb7c863aa,0,3,631.29,460.2,1091.49,194.05,1.34,2.2,1289.08,2.1734,80
bea4f948-bf4e-4763-8a85-bdadb7c863aa,1,3,630.12,389.42,1019.53,193.89,1.06,1.68,1216.17,2.6169,71
bea4f948-bf4e-4763-8a85-bdadb7c863aa,2,3,638.39,508.55,1146.94,194.24,1.11,1.57,1343.86,0.4403,98
bea4f948-bf4e-4763-8a85-bdadb7c863aa,3,3,638.32,461.12,1099.45,194.28,1.08,1.73,1296.53,5.2815,85
bea4f948-bf4e-4763-8a85-bdadb7c863aa,4,3,644.27,296.52,940.78,192.47,1.11,1.68,1136.04,5.1408,51
bea4f948-bf4e-4763-8a85-bdadb7c863aa,5,3,646.91,508.55,1155.46,194.22,1.03,1.59,1352.3,6.3785,98
bea4f948-bf4e-4763-8a85-bdadb7c863aa,6,3,651.79,414.91,1066.7,194.28,1.09,1.67,1263.73,6.032,73
bea4f948-bf4e-4763-8a85-bdadb7c863aa,7,3,650.94,1283.44,1934.38,194.72,1.11,1.63,2131.83,0.8578,268
bea4f948-bf4e-4763-8a85-bdadb7c863aa,8,3,657.28,462.19,1119.47,194.26,1.06,1.66,1316.45,0.7375,85
bea4f948-bf4e-4763-8a85-bdadb7c863aa,9,3,658.17,461.31,1119.49,194.31,1.03,1.66,1316.49,2.0655,85
6772f2ec-de25-4cce-b731-0af9f06fbdc6,0,2,632.29,366.21,998.5,191.1,1.18,1.94,1192.72,1.9012,64
6772f2ec-de25-4cce-b731-0af9f06fbdc6,1,2,646.83,250.18,897.01,194.35,1.12,1.79,1094.27,0.744,39
6772f2ec-de25-4cce-b731-0af9f06fbdc6,2,2,646.45,366.67,1013.11,191.34,1.16,1.66,1207.27,0.8481,64
6772f2ec-de25-4cce-b731-0af9f06fbdc6,3,2,653.38,367.25,1020.63,191.42,1.17,1.67,1214.89,0.6998,64
6772f2ec-de25-4cce-b731-0af9f06fbdc6,4,2,653.85,367.46,1021.31,191.13,1.05,4.21,1217.7,2.3024,64
6772f2ec-de25-4cce-b731-0af9f06fbdc6,5,2,655.54,367.46,1023.01,191.19,1.12,1.76,1217.07,2.0451,64
6772f2ec-de25-4cce-b731-0af9f06fbdc6,6,2,660.63,345.26,1005.89,193.05,1.08,1.64,1201.66,1.3887,59
6772f2ec-de25-4cce-b731-0af9f06fbdc6,7,2,659.09,368.97,1028.06,191.26,1.05,1.73,1222.1,1.1092,64
6772f2ec-de25-4cce-b731-0af9f06fbdc6,8,2,659.91,368.93,1028.85,191.2,1.03,1.58,1222.65,1.598,64
6772f2ec-de25-4cce-b731-0af9f06fbdc6,9,2,667.31,368.57,1035.89,191.08,1.06,1.58,1229.6,0.4809,62
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,0,3,642.61,390.88,1033.49,194.08,1.17,2.08,1230.81,0.6683,72
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,1,3,653.53,390.43,1043.96,194.06,1.17,1.85,1241.04,0.5917,72
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,2,3,654.52,391.59,1046.1,194.11,1.12,1.76,1243.09,0.6398,72
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,3,3,655.99,391.48,1047.48,194.01,1.04,1.6,1244.13,0.5881,72
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,4,3,659.76,404.37,1064.12,218.38,1.48,2.25,1286.23,0.6592,72
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,5,3,660.53,374.22,1034.75,211.7,1.45,2.29,1250.19,4.846,64
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,6,3,664.73,390.83,1055.56,194.34,1.04,1.77,1252.71,0.5372,72
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,7,3,667.42,390.49,1057.91,194.27,1.02,1.61,1254.81,0.715,72
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,8,3,667.22,392.53,1059.75,194.13,1.09,1.74,1256.71,1.1103,72
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,9,3,665.69,393.19,1058.88,194.7,1.02,1.74,1256.33,0.7489,72
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,0,2,641.72,225.72,867.44,192.94,1.1,2.03,1063.51,1.2119,36
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,1,2,653.45,297.63,951.08,192.8,1.18,1.76,1146.82,2.5171,46
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,2,2,655.61,202.92,858.53,193.27,1.06,1.8,1054.66,2.9312,30
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,3,2,657.8,226.89,884.69,193.99,1.14,1.73,1081.54,1.1807,36
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,4,2,657.19,226.91,884.1,193.2,1.11,1.64,1080.04,1.1872,36
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,5,2,661.55,227.9,889.46,195.02,1.13,1.64,1087.24,0.9846,35
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,6,2,659.35,297.9,957.24,192.66,1.05,1.6,1152.55,2.0365,46
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,7,2,667.32,298.36,965.68,192.88,1.08,1.6,1161.24,2.7978,46
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,8,2,667.75,298.22,965.96,192.71,1.09,1.63,1161.4,3.9072,46
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,9,2,669.13,322.73,991.86,193.17,1.02,1.53,1187.58,1.9286,54
36c01c90-8efc-4c21-8e43-158a4c86214f,0,4,643.77,391.91,1035.68,194.34,1.1,2.19,1233.31,6.2963,71
36c01c90-8efc-4c21-8e43-158a4c86214f,1,4,655.17,390.98,1046.15,194.08,1.09,1.78,1243.1,2.4302,71
36c01c90-8efc-4c21-8e43-158a4c86214f,2,4,659.22,390.89,1050.11,194.59,1.08,1.69,1247.48,2.0452,72
36c01c90-8efc-4c21-8e43-158a4c86214f,3,4,659.73,391.19,1050.92,194.27,1.11,1.7,1248.0,8.6541,72
36c01c90-8efc-4c21-8e43-158a4c86214f,4,4,665.94,392.27,1058.21,194.15,1.04,1.6,1255.01,2.6972,72
36c01c90-8efc-4c21-8e43-158a4c86214f,5,4,665.37,391.78,1057.15,194.27,1.04,1.64,1254.1,8.7578,70
36c01c90-8efc-4c21-8e43-158a4c86214f,6,4,668.67,391.79,1060.46,194.13,1.06,1.69,1257.33,2.427,71
36c01c90-8efc-4c21-8e43-158a4c86214f,7,4,674.8,392.72,1067.52,194.35,1.13,1.66,1264.66,1.2802,71
36c01c90-8efc-4c21-8e43-158a4c86214f,8,4,673.71,392.56,1066.27,194.02,1.02,1.64,1262.95,2.2783,72
36c01c90-8efc-4c21-8e43-158a4c86214f,9,4,679.1,391.86,1070.96,194.67,1.09,1.61,1268.33,2.0388,71
983e7342-b94b-4b67-8052-31312633f78e,0,3,641.43,390.84,1032.27,194.1,1.11,2.06,1229.54,0.8801,72
983e7342-b94b-4b67-8052-31312633f78e,1,3,659.41,391.16,1050.57,194.27,1.08,1.78,1247.69,1.8233,72
983e7342-b94b-4b67-8052-31312633f78e,2,3,662.25,391.37,1053.61,194.11,1.17,1.72,1250.61,2.354,72
983e7342-b94b-4b67-8052-31312633f78e,3,3,665.42,396.94,1062.36,193.98,1.04,1.69,1259.06,6.576,72
983e7342-b94b-4b67-8052-31312633f78e,4,3,665.74,392.11,1057.85,194.08,1.02,1.67,1254.63,0.8455,72
983e7342-b94b-4b67-8052-31312633f78e,5,3,671.79,392.19,1063.98,194.31,1.04,1.64,1260.97,2.1878,72
983e7342-b94b-4b67-8052-31312633f78e,6,3,676.01,392.72,1068.73,194.24,1.04,1.7,1265.72,1.2132,72
983e7342-b94b-4b67-8052-31312633f78e,7,3,675.85,392.69,1068.55,194.41,1.12,1.7,1265.78,1.1787,72
983e7342-b94b-4b67-8052-31312633f78e,8,3,676.98,392.53,1069.51,194.25,1.04,1.67,1266.47,0.6773,72
983e7342-b94b-4b67-8052-31312633f78e,9,3,677.61,392.48,1070.09,194.73,1.03,1.67,1267.51,0.7967,72
973f47f2-8577-4323-820c-ed080f1cf833,0,2,644.91,461.48,1106.39,194.24,1.12,2.0,1303.75,0.5503,69
973f47f2-8577-4323-820c-ed080f1cf833,1,2,658.51,460.69,1119.2,194.26,1.18,1.77,1316.41,2.0469,69
973f47f2-8577-4323-820c-ed080f1cf833,2,2,661.08,367.66,1028.74,191.27,1.07,1.71,1222.78,0.6303,56
973f47f2-8577-4323-820c-ed080f1cf833,3,2,666.22,344.17,1010.39,192.92,1.04,1.65,1205.99,1.116,52
973f47f2-8577-4323-820c-ed080f1cf833,4,2,661.42,368.06,1029.48,191.27,1.03,5.06,1226.84,0.2595,56
973f47f2-8577-4323-820c-ed080f1cf833,5,2,668.67,414.49,1083.16,194.44,1.11,1.64,1280.35,0.6191,73
973f47f2-8577-4323-820c-ed080f1cf833,6,2,671.43,391.74,1063.17,194.19,1.06,1.7,1260.11,1.4281,61
973f47f2-8577-4323-820c-ed080f1cf833,7,2,676.68,396.45,1073.12,195.44,1.03,1.74,1271.34,3.6483,57
973f47f2-8577-4323-820c-ed080f1cf833,8,2,678.65,416.58,1095.23,194.25,1.05,1.68,1292.2,0.382,73
973f47f2-8577-4323-820c-ed080f1cf833,9,2,679.58,369.42,1049.0,191.37,1.23,1.74,1243.34,1.1255,56
65c12666-3a74-4cc2-939c-fa1a7d0c8606,0,3,645.61,390.7,1036.31,194.18,1.11,2.01,1233.61,3.796,72
65c12666-3a74-4cc2-939c-fa1a7d0c8606,1,3,656.64,390.75,1047.38,194.14,1.15,1.82,1244.5,6.0636,72
65c12666-3a74-4cc2-939c-fa1a7d0c8606,2,3,661.68,391.98,1053.66,194.34,1.08,2.98,1252.06,3.9189,72
65c12666-3a74-4cc2-939c-fa1a7d0c8606,3,3,666.63,392.77,1059.39,194.14,1.08,1.73,1256.33,4.5291,72
65c12666-3a74-4cc2-939c-fa1a7d0c8606,4,3,656.82,392.36,1049.18,194.16,1.08,1.66,1246.09,5.9332,72
65c12666-3a74-4cc2-939c-fa1a7d0c8606,5,3,671.96,392.12,1064.08,194.51,1.1,1.72,1261.42,6.0084,72
65c12666-3a74-4cc2-939c-fa1a7d0c8606,6,3,670.84,392.97,1063.81,195.36,1.09,1.69,1261.95,3.539,72
65c12666-3a74-4cc2-939c-fa1a7d0c8606,7,3,672.04,392.68,1064.71,194.19,1.11,1.69,1261.71,4.9645,72
